pid	English	Chinese
924637	Spring Facial Oil, 20ml	春季面部护理油，20ml
805923	Pure Calm Cleansing Dew, 100ml	清透镇定洁肤露，100ml
611482	Restorative Cleansing Balm, 50ml	修复洁面膏，50ml
468916	Summer Facial Oil, 20ml	夏季面部护理油，20ml
468913	Altitude Oil, 10ml	高空舒压精油，10ml
805925	Intense Nurture Antioxidant Elixir, 30ml	密集养护抗氧化精华，30ml
468917	Dewy Facial Mist, 100ml	水润面部喷雾，100ml
468914	Salvation Body Oil, 200ml	修复身体护理油，200ml
560211	Winter Facial Oil, 20ml	冬季面部护理油，20ml
468918	Brightening Cleanse & Exfoliate, 70g	亮肤去角质洁面粉，70g
805924	Exhale Daily Hydrating Nectar SPF30, 50ml	轻透保湿打底霜 SPF30, 50ml
