pid	English	Chinese
850149	Radiant Skin Renewal Starter Kit	 焕彩再生入门套装
859289	Glowing Skin Bundle, 30ml and 15ml	亮肤焕颜组合套装，30ml 和 15ml
859288	Advanced Hydrating & Brightening Set, 30ml and 100ml	滋养明肌套装，30ml 和 100ml
900490	Facial Detox Clarify + Clear Mask, 50ml	排毒净化焕肤面膜，50ml
602612	Sun Visor SPF30, 80ml	防晒霜 SPF30，80ml
847644	Brightening Elixir, 30ml	亮肤精华液，30ml
671167	Plant Profusion Regenerative Night Cream, 50ml	植物丰盈配方再生晚霜，50ml
671169	Plant Profusion Supreme Serum, 30ml	植物丰盈配方极致精华液，30ml
602605	Doctor's Scrub, 100ml	医学高效磨砂膏，100ml
602606	Fresh-a-Peel, 50ml	舒颜去角质霜，50ml
602610	Fleuressence Native Botanical Cell Oil, 30ml	Fleuressence 原生植物细胞精油，30ml
671166	Plant Profusion Energetic Eye Cream, 15ml	植物丰盈配方赋活眼霜，15ml
671168	Plant Profusion Lifting Neck Cream, 50ml	植物丰盈配方提拉颈霜，50ml
602607	Vital Boost Moisturizer, 50ml	醒肤活力润肤乳，50ml
602611	Liquid Face Lift, 15ml	面部紧致精华液, 15ml
602609	Bright Eyes, 15ml	明眸眼部精华，15ml
602608	Needle-Less Line Smoothing Concentrate, 30ml	无针式复颜抗皱精华液，30ml
