pid	English	Chinese
937824	BrowFood Ultra Fine Brow Pencil Duo - Charcoal 	二合一眉毛养分超细眉笔（色号：Charcoal）
937822	Browfood Ultra Fine Brow Pencil Duo - Brunette	眉毛养分超精细二合一眉笔（色号：Brunette）
937820	BrowFood Ultra Fine Brow Pencil Duo - Dark Blonde	二合一眉毛养分超细眉笔（色号：Dark Blonde）
937823	BrowFood Ultra Fine Brow Pencil Duo - Dark Brunette	二合一眉毛养分超细眉笔（色号：Dark Brunette）
937821	Browfood Ultra Fine Brow Pencil Duo - Taupe	眉毛养分超精细二合一眉笔（色号：Taupe）
937827	BrowFood Aqua Brow Powder + Pencil Duo - Dark Blonde	眉毛养分二合一眉笔（色号：Dark Blonde）
937829	BrowFood Aqua Brow Powder + Pencil Duo - Brunette	眉毛养分二合一眉笔（色号：Brunette）
937831	BrowFood Aqua Brow Powder + Pencil Duo - Charcoal	眉毛养分二合一眉笔（色号：Charcoal）
937830	BrowFood Aqua Brow Powder + Pencil Duo - Dark Brunette	眉毛养分二合一眉笔（色号：Dark Brunette）
937828	BrowFood Aqua Brow Powder + Pencil Duo - Taupe	眉毛养分二合一眉笔（色号：Taupe）
937819	Eyelash Extensions in a Bottle, 8ml	睫毛增长膏，8ml
937817	Lash Transformation System	睫毛革命套装
937818	Conditioning Collagen Lash Primer, 8ml	胶原蛋白滋养睫毛打底液，8ml
755913	24H Tri-Feather Brow Pen - Bold Brunette	24 小时三叉眉笔（色号：Bold Brunette）
755912	24H Tri-Feather Brow Pen - Soft Brunette	24 小时三叉眉笔（色号：Soft Brunette）
755914	24H Tri-Feather Brow Pen - Bold Dark Brunette	24 小时三叉眉笔（色号：Bold Dark Brunette）
645389	Conditioning Lash Primer with Fiber, 8ml	超细纤维滋养睫毛打底霜，8ml
755908	24H Tri-Feather Brow Pen - Soft Dark Blonde	24 小时三叉眉笔（色号：Soft Dark Blonde）
645387	Natural Eyelash Enhancer, 3ml	天然睫毛增长精华，3ml
645388	BrowFood Phyto-Medic Natural Eyebrow Enhancer, 5ml	眉毛养分天然药用草本眉毛增长精华，5ml
645383	BrowFood Brow Enhancing GelFix - Clear	眉毛养分定型眉胶（色号：Clear）
645385	Browfood Tinted Brow Enhancing GelFix - Brunette	眉毛养分润色定型浓眉胶（色号：Brunette）
645394	Conditioning Drama Mascara - Black	梦幻滋养睫毛膏（色号：Black）
645384	BrowFood Tinted Brow Enhancing GelFix - Dark Blonde	眉毛养分润色定型浓眉胶（色号：Dark Blonde）
645386	Browfood Tinted Brow Enhancing GelFix - Dark Brunette	眉毛养分润色眉胶（色号：Dark Brunette）
645392	Conditioning Liquid Eyeliner - Black	滋养眼线液（色号：Black）
645393	Instant  Eye Makeup Remover, 100ml	眼部瞬间卸妆液，100ml
