pid	English	Chinese
850662	Sundaram & Silence scented candle, 210g	Sundaram & Silence 香薰蜡烛，210g
875104	Reawaken Hand and Body Wash, 250ml	醒肤手部身体清洁露，250ml
720789	Set of seven pure muslin cleansing cloths	纯净玛姿林洁面巾（七条装）
720786	Grow Strong Hair Oil, 30ml	护发精油，30ml
720784	Himalayan Healing Salts, 450g	喜马拉雅芳疗浴盐, 450g
770466	Surrender Vata Body Oil, 130ml	Surrender Vata 身体护理油，130ml
720787	Radiance Mask & Exfoliant, 30g	焕彩面膜去角质两用粉末，30g
720788	Revive the Senses Set	活力觉醒套装
720785	Supreme Skin Face Serum, 30ml	极致美肌面部精华，30ml
720783	Sacred Union Scent & Dry Oil, 100ml	神圣同盟香氛精华油，100ml
