pid	English	Chinese
838719	Ambient Lighting Edit - Surreal Light	柔光亮颜精选彩盘（色号：Surreal Light）
958149	Immaculate Liquid Powder Foundation - Porcelain, 30ml	完美无暇粉质粉底液，30ml（色号：Porcelain）
958153	Immaculate Liquid Powder Foundation - Ivory, 30ml	完美无暇粉质粉底液，30ml（色号：Ivory）
958148	Immaculate Liquid Powder Foundation - Pearl, 30ml	完美无暇粉质粉底液，30ml（色号：Pearl）
958158	Immaculate Liquid Powder Foundation - Light Beige	完美无瑕粉质粉底液（色号：Light Beige）
958154	Immaculate Liquid Powder Foundation - Nude, 30ml	完美无暇粉质粉底液，30ml（色号：Nude）
958161	Immaculate Liquid Powder Foundation - Beige	完美无暇粉质粉底液（色号：Beige）
784698	Vanish Seamless Finish Foundation Stick - Sand	无痕修饰粉底棒（色号：Sand）
784703	Vanish Seamless Finish Foundation Stick - Golden Tan	无痕修饰粉底棒（色号：Golden Tan）
838720	Ambient Lighting Edit Brush	柔光亮颜多用化妆刷
784691	Vanish Seamless Finish Foundation Brush	无痕修饰粉底刷
937842	Ambient Strobe Lighting Blush - Iridescent Flash	柔光亮颜腮红（色号：Iridescent Flash）
784696	Vanish Seamless Finish Foundation Stick - Warm Ivory	无痕修饰粉底棒（色号：Warm Ivory）
942796	Vanish Seamless Finish Foundation Stick - Shell	无痕修饰粉底棒（色号：Shell）
942797	Vanish Seamless Finish Foundation Stick - Ivory	无痕修饰粉底棒（色号：Ivory）
784695	Vanish Seamless Finish Foundation Stick - Buff	无痕修饰粉底棒（色号：Buff）
784697	Vanish Seamless Finish Foundation Stick - Nude	无痕修饰粉底棒（色号：Nude）
784699	Vanish Seamless Finish Foundation Stick - Golden	无痕修饰粉底棒（色号：Golden）
784700	Vanish Seamless Finish Foundation Stick - Light Beige	无痕修饰粉底棒（色号：Light Beige）
942798	Vanish Seamless Finish Foundation Stick - Honey	无痕修饰粉底棒（色号：Honey）
784701	Vanish Seamless Finish Foundation Stick - Beige	无痕修饰粉底棒（色号：Beige）
942794	Vanish Seamless Finish Foundation Stick - Porcelain	无痕修饰粉底棒（色号：Porcelain）
937839	Ambient Lighting Bronzer - Diffused Bronze Light	柔光亮颜古铜粉（色号：Diffused Bronze Light）
784692	Vanish Seamless Finish Foundation Stick - Vanilla 	无痕修饰粉底棒（色号：Vanilla）
784693	Vanish Seamless Finish Foundation Stick - Bisque	无痕修饰粉底棒（色号：Bisque）
784702	Vanish Seamless Finish Foundation Stick - Warm Beige	无痕修饰粉底棒（色号：Warm Beige）
942795	Vanish Seamless Finish Foundation Stick - Linen	无痕修饰粉底棒（色号：Linen）
937841	Ambient Strobe Lighting Blush - Euphoric Fusion	柔光亮颜腮红（色号：Euphoric Fusion）
784694	Vanish Seamless Finish Foundation Stick - Alabaster	无痕修饰粉底棒（色号：Alabaster）
937838	Ambient Lighting Bronzer - Nude Bronze Light	柔光亮颜古铜粉（色号：Nude Bronze Light）
942793	Vanish Seamless Finish Foundation Stick - Blanc	无痕修饰粉底棒（色号：Blanc）
937840	Ambient Strobe Lighting Blush - Brilliant Nude	柔光亮颜腮红（色号：Brilliant Nude）
885942	Curator Lash Instrument	Curator® 定制无刷睫毛棒
885944	The Curator Realist Defining Mascara	Curator® 定制根根分明睫毛膏
885943	The Curator Ascent Extended Wear Lash Primer	Curator® 定制持久睫毛打底液
885940	Voyeur Waterproof Liquid Liner - Ultra Black	Voyeur 防水眼线液（色号：Ultra Black）
885958	Girl Lip Stylo - Icon	百变之魅唇膏笔（色号：Icon）
759732	Extreme Sheen High Shine Lip Gloss - Truth	极度炫色高亮度唇彩（色号：Truth）
